id,city,zip,street,lat,lon,created_at,updated_at
215,Fresno,93725,735 E. North Avenue,36.6922604,-119.7780289,2012-10-23 04:11:08,2012-10-23 04:11:08
501,Sacramento,95820,4700 Broadway,38.546111,-121.450862,2012-10-23 04:11:47,2012-10-23 04:11:47
502,Los Angeles,90007,3615 S. Hope Street,34.0181856,-118.2787006,2012-10-23 04:11:24,2012-10-23 04:11:24
503,San Francisco,94117,1377 Fell Street,37.7735683,-122.440403,2012-10-23 04:11:52,2012-10-23 04:11:52
504,Oakland,94618,5300 Claremont Avenue,37.839975,-122.259749,2012-10-23 04:11:32,2012-10-23 04:11:32
505,Fresno,93728,655 W. Olive Avenue,36.7575227,-119.8193919,2012-10-23 04:11:07,2012-10-23 04:11:07
506,San Diego,92103,3960 Normal Street,32.7502495,-117.1489551,2012-10-23 04:11:51,2012-10-23 04:11:51
507,Long Beach,90815,3700 East Willow Street,33.8041114,-118.1485077,2012-10-23 04:11:23,2012-10-23 04:11:23
508,Hollywood,90038,803 Cole Avenue,34.0853806,-118.3301946,2012-10-23 04:11:15,2012-10-23 04:11:15
509,Pasadena,91107,49 S. Rosemead Boulevard,34.145159,-118.074235,2012-10-23 04:11:37,2012-10-23 04:11:37
510,Glendale,91201,1335 W. Glenoaks Boulevard,34.1666643,-118.2833117,2012-10-23 04:11:11,2012-10-23 04:11:11
511,Montebello,90640,424 N. Wilcox Avenue,34.019386,-118.122671,2012-10-23 04:11:28,2012-10-23 04:11:28
512,San Bernardino,92404,1310 N. Waterman Avenue,34.1234448,-117.278794,2012-10-23 04:11:49,2012-10-23 04:11:49
513,Truckee,96162,11357 Donner Pass Road Suite I,39.325704,-120.2089208,2012-10-23 04:12:06,2012-10-23 04:12:06
514,Los Angeles,90066,11400 Washington Boulevard,34.0025476,-118.4155303,2012-10-23 04:10:59,2012-10-23 04:10:59
515,Van Nuys,91405,14920 Vanowen Street,34.1938937,-118.4585803,2012-10-23 04:12:10,2012-10-23 04:12:10
516,San Jose,95110,111 W. Alma Avenue,37.3149029,-121.8761254,2012-10-23 04:11:53,2012-10-23 04:11:53
517,Stockton,95203,55 South Lincoln Street,37.9513094,-121.2975515,2012-10-23 04:12:03,2012-10-23 04:12:03
519,San Diego,92117,4375 Derrick Drive,32.8232147,-117.182459,2012-10-23 04:11:51,2012-10-23 04:11:51
520,Chico,95926,500 Cohasset Road 31,39.752144,-121.850514,2012-10-23 04:10:53,2012-10-23 04:10:53
521,Jackson,95642,201 Clinton Road,38.342514,-120.764179,2012-10-23 04:11:18,2012-10-23 05:02:52
522,Oroville,95965,775 Mitchell Avenue,39.50424,-121.5662649,2012-10-23 04:11:34,2012-10-23 04:11:34
523,Concord,94520,2070 Diamond Boulevard,37.974747,-122.056584,2012-10-23 04:10:56,2012-10-23 04:10:56
524,Crescent City,95531,1475 Parkway Drive,41.771949,-124.184674,2012-10-23 04:10:58,2012-10-23 04:10:58
525,Placerville,95667,2919 Cold Springs Road,38.7344579,-120.824928,2012-10-23 04:11:39,2012-10-23 04:11:39
526,Eureka,95501,322 W. 15th Street,40.7929783,-124.1748642,2012-10-23 04:11:04,2012-10-23 04:11:04
527,El Centro,92243,233 N. Imperial Avenue,32.794775,-115.569378,2012-10-23 04:11:01,2012-10-23 04:11:01
528,Blythe,92225,430 South Broadway,33.604193,-114.59618,2012-10-23 04:10:50,2012-10-23 04:10:50
529,Bakersfield,93301,3120 F Street,35.3884748,-119.0224383,2012-10-23 04:10:45,2012-10-23 04:10:45
530,Lakeport,95453,965 Parallel Drive,39.035867,-122.9273,2012-10-23 04:11:20,2012-10-23 04:11:20
